TIMD TIMA DEPT ARRV PASS
0400 0700 EFHK LGSA 120
0440 0830 EKBI LTAI 150
0500 0830 EKBI LEAM 110
0500 0845 ESGG LCLK 165
0505 0835 ESSA LTFE 170
0600 0810 EKCH LBWN 103
0630 1200 BIKF LGSA 134
0842 1145 LGSA EFHK 187
0926 1320 LTAI EKBI 155
0933 1140 LBWN EKBI 162
0935 1300 LEAM EKCH 112
1000 1335 LTFE ESMS 32
1025 1410 LCLK ESGG 176
1330 1700 LGSA BIKF 115
1345 1555 EKBI LBWN 178
1405 1450 ESMS ESGG 184
1425 1740 EKCH LEAM 34
1430 1730 EKBI LTBS 132
1450 1700 EFHK LBWN 102
1600 1645 ESGG ESMS 184
1720 2030 ESMS LTFE 163
1750 2020 LBWN EKCH 150
1910 2240 LEAM EKBI 110
1910 2210 LTBS EKBI 182
1938 2150 LBWN EFHK 109
2125 2355 BIKF EKBI 176
2145 2355 LTFE ESSA 144
2305 2335 EKBI EKAH 33
2340 0035 ESMS ESGG 154
